transformed_feature,gain_importance
numeric__CC_CC_DRAWING_LIMIT_RATIO_MEAN,7528.211822509766
numeric__BURO_AMT_CREDIT_SUM_SUM,7435.311326980591
numeric__BURO_DAYS_ENDDATE_FACT_MAX,7253.435781478882
numeric__CREDIT_PER_PERSON,7107.769199371338
numeric__REGION_RATING_CLIENT_W_CITY,7027.2510051727295
numeric__PREV_CNT_PAYMENT_MEAN,7021.528697967529
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,6933.758514404297
numeric__PREV_AMT_DOWN_PAYMENT_SUM,6834.187156677246
numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,6685.662794113159
numeric__EXT_SOURCE_1,6620.331411361694
numeric__BURO_TYPE_MORTGAGE_RATE,6403.136734008789
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6344.5271854400635
numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,6236.344879150391
numeric__DAYS_ID_PUBLISH,6180.603006362915
numeric__BURO_DAYS_CREDIT_SUM,6088.029098510742
categorical__NAME_EDUCATION_TYPE_Secondary / secondary special,5633.725475311279
numeric__INST_NUM_INSTALMENT_VERSION_MEAN,5600.099117279053
categorical__NAME_INCOME_TYPE_Working,5530.558712005615
numeric__INST_INST_PAYMENT_RATIO_MEAN,5496.247081756592
numeric__BURO_BURO_DEBT_CREDIT_RATIO_SUM,5262.812479019165
categorical__NAME_CONTRACT_TYPE_Cash loans,5218.303203582764
numeric__CREDIT_INCOME_RATIO,5197.042016983032
numeric__EXT_SOURCE_COUNT,5174.9432373046875
numeric__INST_AMT_INSTALMENT_SUM,5130.036420822144
numeric__POS_SK_DPD_DEF_MEAN,5012.200483322144
numeric__INST_INST_PAYMENT_DIFF_SUM,4950.329700469971
numeric__PREV_AMT_ANNUITY_MEAN,4940.928110122681
numeric__ID_PUBLISH_AGE_RATIO,4919.665678024292
numeric__PREV_CODE_REJECT_REASON_XAP_RATE,4874.718830108643
numeric__INST_INST_PAYMENT_DELAY_SUM,4811.483194351196
numeric__PREV_DAYS_TERMINATION_MAX,4462.488399505615
numeric__REGION_POPULATION_RELATIVE,4353.371700286865
numeric__INST_NUM_INSTALMENT_VERSION_SUM,4336.977687835693
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MAX,4330.631538391113
numeric__BURO_DAYS_CREDIT_MAX,4324.760185241699
numeric__INST_DAYS_INSTALMENT_MIN,4221.491195678711
categorical__FLAG_OWN_CAR_N,4142.495300292969
numeric__INST_AMT_INSTALMENT_MIN,4109.4162940979
numeric__BURO_AMT_CREDIT_MAX_OVERDUE_SUM,4104.511806488037
numeric__PREV_NAME_CONTRACT_STATUS_APPROVED_RATE,4039.4961013793945
numeric__ID_PUBLISH_YEARS,4019.3135948181152
numeric__INST_INST_UNDERPAYMENT_FLAG_MEAN,4000.0759296417236
numeric__PREV_AMT_ANNUITY_MIN,3908.841028213501
numeric__PREV_NAME_YIELD_GROUP_HIGH_RATE,3899.753803253174
numeric__BURO_DAYS_ENDDATE_FACT_SUM,3810.2951889038086
numeric__SOCIAL_DEFAULT_RATIO_60,3787.831802368164
numeric__INST_DAYS_ENTRY_PAYMENT_MIN,3770.8341026306152
numeric__BURO_AMT_CREDIT_SUM_MIN,3690.483106613159
numeric__BURO_AMT_CREDIT_SUM_DEBT_MAX,3628.014892578125
numeric__DAYS_LAST_PHONE_CHANGE,3603.498384475708
numeric__PREV_PRODUCT_COMBINATION_POS INDUSTRY WITH INTEREST_RATE,3577.932710647583
numeric__PREV_CNT_PAYMENT_MAX,3562.4755210876465
numeric__PREV_NAME_PRODUCT_TYPE_WALK-IN_RATE,3488.6910972595215
numeric__BURO_AMT_CREDIT_SUM_MEAN,3469.712490081787
numeric__REG_CITY_NOT_LIVE_CITY,3398.7752113342285
numeric__AMT_REQ_CREDIT_BUREAU_QRT,3392.7374839782715
numeric__BURO_TYPE_MICROLOAN_RATE,3382.503011703491
numeric__EXT_SOURCE_STD,3344.8152980804443
numeric__INST_DAYS_ENTRY_PAYMENT_MAX,3330.2749061584473
numeric__INST_NUM_INSTALMENT_NUMBER_MAX,3212.1498050689697
numeric__PHONE_CHANGE_AGE_RATIO,3208.4944896698
numeric__missingindicator_OWN_CAR_AGE,3120.6147842407227
numeric__BURO_DAYS_CREDIT_MIN,3009.2593116760254
numeric__PREV_AMT_DOWN_PAYMENT_MAX,3002.9940242767334
numeric__BURO_BURO_ENDDATE_CREDIT_GAP_MAX,2962.469005584717
numeric__BURO_DAYS_CREDIT_ENDDATE_SUM,2948.399013519287
numeric__BURO_BURO_ENDDATE_CREDIT_GAP_MIN,2945.335424423218
numeric__PREV_SELLERPLACE_AREA_MEAN,2825.4469089508057
numeric__INST_INST_PAYMENT_DELAY_MIN,2781.493408203125
numeric__POS_MONTHS_BALANCE_SUM,2766.623592376709
numeric__SOCIAL_DEFAULT_RATIO_30,2764.766384124756
numeric__PREV_NAME_YIELD_GROUP_LOW_NORMAL_RATE,2703.8021087646484
numeric__missingindicator_BURO_DAYS_ENDDATE_FACT_MEAN,2677.7757263183594
numeric__REGISTRATION_AGE_RATIO,2594.1524982452393
numeric__INST_INST_PAYMENT_DIFF_MAX,2515.545389175415
numeric__BURO_DAYS_CREDIT_MEAN,2492.0261878967285
numeric__PREV_AMT_DOWN_PAYMENT_MEAN,2480.0289878845215
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MIN,2457.831485748291
numeric__REGISTRATION_YEARS,2411.602584838867
numeric__POS_SK_DPD_DEF_MAX,2386.515007019043
numeric__PREV_DAYS_FIRST_DRAWING_MAX,2379.754384994507
numeric__INST_DAYS_INSTALMENT_MEAN,2356.825092315674
numeric__PREV_AMT_APPLICATION_SUM,2316.718017578125
numeric__CC_CC_PAYMENT_MIN_RATIO_SUM,2314.134925842285
numeric__BURO_AMT_CREDIT_SUM_DEBT_MEAN,2286.409505844116
numeric__DAYS_REGISTRATION,2284.4856147766113
numeric__SOCIAL_DEFAULT_TOTAL,2276.061529159546
numeric__BUILDING_FEATURE_MEAN,2267.9606952667236
numeric__PREV_SELLERPLACE_AREA_MAX,2257.856704711914
numeric__POS_MONTHS_BALANCE_MEAN,2245.7470874786377
numeric__BURO_DAYS_CREDIT_UPDATE_MEAN,2226.2733974456787
numeric__PREV_AMT_ANNUITY_MAX,2207.240791320801
categorical__OCCUPATION_TYPE_Core staff,2207.0461978912354
numeric__FLAG_WORK_PHONE,2199.158000946045
numeric__BURO_BAL_BB_STATUS_C_RATE_MAX,2192.9771041870117
numeric__PHONE_CHANGE_YEARS,2156.5139961242676
numeric__PREV_SELLERPLACE_AREA_SUM,2148.3460006713867
numeric__BURO_DAYS_CREDIT_ENDDATE_MEAN,2104.065704345703
numeric__INST_DAYS_ENTRY_PAYMENT_MEAN,2098.4833984375
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,2095.0001945495605
numeric__INST_AMT_PAYMENT_MAX,2093.9703845977783
categorical__ORGANIZATION_TYPE_Self-employed,2093.715003967285
numeric__CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,2089.5024337768555
numeric__CC_CNT_DRAWINGS_CURRENT_MAX,2085.044204711914
numeric__INST_INST_PAYMENT_RATIO_SUM,2080.687397003174
numeric__INST_INST_PAYMENT_DELAY_MEAN,2074.0824012756348
numeric__PREV_CHANNEL_TYPE_CHANNEL OF CORPORATE SALES_RATE,2036.0568237304688
numeric__PREV_AMT_ANNUITY_SUM,2035.5419998168945
numeric__BURO_TYPE_MICROLOAN,2016.1844787597656
numeric__BURO_DAYS_CREDIT_UPDATE_MAX,2013.784610748291
numeric__INST_AMT_INSTALMENT_MAX,2012.6616077423096
numeric__PREV_DAYS_FIRST_DUE_MAX,2008.4121227264404
numeric__PREV_AMT_GOODS_PRICE_MIN,1984.1895084381104
numeric__HOUR_APPR_PROCESS_START,1945.9462051391602
numeric__PREV_PREV_ANNUITY_CREDIT_RATIO_MIN,1945.3473930358887
numeric__POS_CNT_INSTALMENT_MAX,1916.29829788208
numeric__BURO_BURO_ENDDATE_CREDIT_GAP_MEAN,1910.5195846557617
numeric__BURO_BAL_BB_STATUS_0_RATE_MEAN,1884.5117015838623
numeric__BURO_DAYS_CREDIT_UPDATE_MIN,1871.8871097564697
categorical__ORGANIZATION_TYPE_Construction,1860.741397857666
numeric__missingindicator_BURO_AMT_CREDIT_SUM_LIMIT_MEAN,1856.759017944336
numeric__PREV_NAME_GOODS_CATEGORY_FURNITURE_RATE,1856.3697128295898
numeric__INST_DAYS_ENTRY_PAYMENT_SUM,1846.7003955841064
numeric__YEARS_BEGINEXPLUATATION_MODE,1814.789894104004
numeric__PREV_PREV_ANNUITY_CREDIT_RATIO_MEAN,1814.6892948150635
numeric__AMT_INCOME_TOTAL,1792.4468975067139
numeric__missingindicator_EXT_SOURCE_3,1784.0316047668457
numeric__BURO_BURO_ENDDATE_CREDIT_GAP_SUM,1758.4218978881836
numeric__CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,1747.2465057373047
numeric__INST_DAYS_INSTALMENT_MAX,1727.6025161743164
numeric__POS_MONTHS_BALANCE_MIN,1726.4168968200684
numeric__BURO_BAL_BB_MONTHS_BALANCE_COUNT_SUM,1706.7148971557617
numeric__APARTMENTS_AVG,1700.8211135864258
numeric__PREV_DAYS_LAST_DUE_SUM,1697.4098052978516
numeric__INST_AMT_INSTALMENT_MEAN,1671.108097076416
numeric__POS_STATUS_ACTIVE,1634.1456909179688
numeric__PREV_RATE_DOWN_PAYMENT_SUM,1602.432601928711
numeric__BURO_BAL_BB_STATUS_C_SUM,1590.595609664917
numeric__BURO_DAYS_ENDDATE_FACT_MIN,1579.9294929504395
numeric__INST_NUM_INSTALMENT_NUMBER_SUM,1565.5543937683105
numeric__PREV_DAYS_TERMINATION_SUM,1556.2289962768555
numeric__BURO_AMT_CREDIT_SUM_DEBT_SUM,1546.6345081329346
numeric__POS_SK_DPD_DEF_SUM,1536.4980068206787
numeric__BURO_BAL_BB_STATUS_X_MEAN,1528.8424949645996
categorical__NAME_INCOME_TYPE_Pensioner,1523.6061935424805
numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: HIGH_RATE,1514.6625938415527
numeric__INST_NUM_INSTALMENT_VERSION_MAX,1510.2361068725586
numeric__POS_CNT_INSTALMENT_FUTURE_MAX,1473.185302734375
numeric__CC_CC_PAYMENT_MIN_RATIO_MEAN,1472.1685962677002
numeric__PREV_AMT_CREDIT_MIN,1465.674903869629
numeric__PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_SUM,1455.8645133972168
numeric__PREV_HOUR_APPR_PROCESS_START_MAX,1450.8285102844238
numeric__PREV_DAYS_FIRST_DRAWING_MEAN,1450.3470916748047
numeric__PREV_CNT_PAYMENT_SUM,1407.7312088012695
numeric__PREV_DAYS_DECISION_MEAN,1405.0423049926758
numeric__CC_AMT_DRAWINGS_CURRENT_MEAN,1380.7106037139893
categorical__ORGANIZATION_TYPE_Military,1374.131202697754
numeric__PREV_NAME_TYPE_SUITE_UNACCOMPANIED_RATE,1372.2465839385986
numeric__PREV_NAME_TYPE_SUITE_NAN_RATE,1360.1701030731201
numeric__PREV_PREV_ANNUITY_CREDIT_RATIO_SUM,1359.3357067108154
numeric__BURO_ACTIVE_CLOSED_RATE,1354.2515907287598
numeric__PREV_NAME_YIELD_GROUP_HIGH,1349.2852020263672
numeric__POS_CNT_INSTALMENT_MEAN,1348.7979984283447
numeric__PREV_HOUR_APPR_PROCESS_START_MEAN,1346.9625988006592
numeric__PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_MEAN,1334.836109161377
numeric__PREV_PRODUCT_COMBINATION_CASH STREET: LOW_RATE,1333.4903888702393
numeric__PREV_NAME_SELLER_INDUSTRY_FURNITURE_RATE,1328.1328926086426
numeric__PREV_DAYS_FIRST_DUE_SUM,1318.8628997802734
numeric__PREV_AMT_APPLICATION_MEAN,1291.7278003692627
numeric__LIVINGAREA_AVG,1281.0405082702637
numeric__PREV_DAYS_DECISION_MAX,1276.8234024047852
numeric__BURO_DAYS_CREDIT_UPDATE_SUM,1272.2934951782227
numeric__INST_DAYS_INSTALMENT_SUM,1265.4881019592285
numeric__BURO_DAYS_ENDDATE_FACT_MEAN,1263.9513053894043
numeric__PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_MAX,1232.0178108215332
numeric__PREV_DAYS_FIRST_DUE_MEAN,1231.2748050689697
numeric__BURO_ACTIVE_ACTIVE,1227.6825981140137
numeric__BURO_AMT_CREDIT_SUM_LIMIT_MEAN,1222.8265972137451
numeric__PREV_DAYS_TERMINATION_MIN,1214.833408355713
numeric__PREV_CHANNEL_TYPE_AP+ (CASH LOAN)_RATE,1211.4174041748047
numeric__CC_CNT_INSTALMENT_MATURE_CUM_MEAN,1192.3606910705566
numeric__INST_INST_PAYMENT_DIFF_MIN,1189.544490814209
numeric__PREV_AMT_CREDIT_MEAN,1165.1729984283447
categorical__ORGANIZATION_TYPE_Business Entity Type 3,1140.0241928100586
categorical__OCCUPATION_TYPE_Sales staff,1138.184700012207
numeric__PREV_DAYS_LAST_DUE_MEAN,1136.6530952453613
numeric__PREV_AMT_CREDIT_MAX,1135.9788970947266
numeric__BURO_AMT_CREDIT_SUM_OVERDUE_MAX,1135.042495727539
numeric__CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,1130.5799007415771
numeric__POS_STATUS_ACTIVE_RATE,1129.7655029296875
numeric__APARTMENTS_MEDI,1123.605697631836
categorical__NAME_CONTRACT_TYPE_Revolving loans,1115.2845001220703
numeric__PREV_NAME_SELLER_INDUSTRY_CONNECTIVITY_RATE,1102.4476871490479
numeric__PREV_DAYS_DECISION_SUM,1097.9326057434082
numeric__BURO_DAYS_CREDIT_ENDDATE_MIN,1096.2203884124756
numeric__CC_AMT_BALANCE_MAX,1094.5783023834229
numeric__PREV_CODE_REJECT_REASON_HC_RATE,1091.7019081115723
numeric__FLOORSMAX_MEDI,1066.2528915405273
numeric__PREV_CHANNEL_TYPE_CREDIT AND CASH OFFICES_RATE,1062.1943073272705
numeric__PREV_DAYS_TERMINATION_MEAN,1056.1925010681152
numeric__BURO_TYPE_CONSUMER CREDIT_RATE,1048.144905090332
numeric__PREV_PRODUCT_COMBINATION_POS INDUSTRY WITHOUT INTEREST_RATE,1046.2098960876465
numeric__PREV_RATE_DOWN_PAYMENT_MAX,1039.782699584961
numeric__LANDAREA_AVG,1036.1273040771484
numeric__PREV_DAYS_FIRST_DRAWING_MIN,1035.3053073883057
numeric__FLOORSMAX_MODE,1020.5743980407715
numeric__PREV_NAME_YIELD_GROUP_XNA_RATE,1016.7951965332031
numeric__BURO_AMT_CREDIT_SUM_LIMIT_MAX,1009.8571014404297
numeric__BURO_BAL_BB_MONTHS_BALANCE_COUNT_MEAN,1006.7784004211426
numeric__NONLIVINGAREA_AVG,1005.9953079223633
numeric__INST_INST_PAYMENT_RATIO_MIN,1003.4005012512207
categorical__ORGANIZATION_TYPE_Transport: type 3,987.7490043640137
numeric__PREV_DAYS_LAST_DUE_MIN,987.1875019073486
numeric__LIVINGAPARTMENTS_MODE,978.6139030456543
numeric__INCOME_PER_PERSON,972.1104068756104
numeric__BURO_TYPE_CONSUMER CREDIT,970.1446990966797
numeric__missingindicator_BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,961.4422073364258
numeric__CC_CC_PAYMENT_MIN_RATIO_MAX,950.3001098632812
categorical__NAME_INCOME_TYPE_State servant,942.9566116333008
numeric__POS_STATUS_COMPLETED_RATE,934.613302230835
numeric__PREV_PREV_ANNUITY_CREDIT_RATIO_MAX,933.6813087463379
numeric__PREV_NAME_CLIENT_TYPE_NEW_RATE,933.1129951477051
numeric__PREV_NAME_PRODUCT_TYPE_X-SELL_RATE,927.0269985198975
categorical__ORGANIZATION_TYPE_School,924.2935943603516
numeric__BURO_BAL_BB_STATUS_C_RATE_MEAN,922.1355018615723
numeric__PREV_AMT_APPLICATION_MIN,915.7373008728027
numeric__BURO_BAL_BB_STATUS_0_RATE_MAX,912.7278938293457
numeric__POS_POS_COMPLETION_RATIO_MIN,911.6297912597656
numeric__POS_CNT_INSTALMENT_SUM,905.6673927307129
numeric__CC_STATUS_SENT PROPOSAL_RATE,902.8765907287598
numeric__POS_RECORD_COUNT,901.3883934020996
categorical__FLAG_OWN_CAR_Y,891.9229145050049
numeric__LIVINGAREA_MODE,891.8784999847412
categorical__OCCUPATION_TYPE_Drivers,885.0657043457031
numeric__PREV_RATE_DOWN_PAYMENT_MIN,875.4417953491211
numeric__PREV_NAME_SELLER_INDUSTRY_XNA_RATE,873.2731914520264
numeric__PREV_NAME_TYPE_SUITE_FAMILY_RATE,870.417797088623
numeric__POS_CNT_INSTALMENT_FUTURE_SUM,869.5108051300049
numeric__NONLIVINGAREA_MEDI,862.7292900085449
numeric__BURO_TYPE_MORTGAGE,859.0984020233154
numeric__TOTALAREA_MODE,844.484302520752
numeric__PREV_NAME_PAYMENT_TYPE_CASH THROUGH THE BANK_RATE,832.3781032562256
numeric__PREV_AMT_CREDIT_SUM,824.3262062072754
numeric__BASEMENTAREA_MEDI,816.5788021087646
numeric__PREV_NAME_GOODS_CATEGORY_PHOTO / CINEMA EQUIPMENT_RATE,813.2644996643066
numeric__BURO_BAL_BB_MONTHS_BALANCE_MAX_MEAN,794.9004974365234
numeric__BURO_BAL_BB_STATUS_0_MAX,793.4180107116699
numeric__PREV_AMT_GOODS_PRICE_MEAN,788.9372062683105
numeric__YEARS_BEGINEXPLUATATION_MEDI,785.070198059082
numeric__PREV_NAME_PRODUCT_TYPE_XNA_RATE,772.8337001800537
numeric__PREV_DAYS_DECISION_MIN,767.1593055725098
numeric__INST_NUM_INSTALMENT_NUMBER_MEAN,767.1498870849609
numeric__CC_CNT_INSTALMENT_MATURE_CUM_SUM,765.6642951965332
numeric__COMMONAREA_AVG,761.6005020141602
numeric__PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_RATE,752.8096923828125
numeric__CC_CNT_DRAWINGS_CURRENT_SUM,747.3028945922852
numeric__BURO_BAL_BB_STATUS_C_RATE_SUM,745.184700012207
numeric__BASEMENTAREA_MODE,742.5164070129395
numeric__PREV_SELLERPLACE_AREA_MIN,741.1392974853516
numeric__YEARS_BUILD_MODE,741.1291961669922
numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_SUM,739.290096282959
numeric__BURO_BAL_BB_STATUS_0_SUM,734.0852088928223
numeric__COMMONAREA_MODE,729.6521034240723
categorical__ORGANIZATION_TYPE_Industry: type 9,726.8190002441406
numeric__missingindicator_BURO_BURO_DEBT_CREDIT_RATIO_MEAN,725.6600036621094
numeric__LIVINGAPARTMENTS_AVG,724.569206237793
numeric__INST_INST_PAYMENT_RATIO_MAX,724.0749015808105
categorical__ORGANIZATION_TYPE_Police,722.1287078857422
numeric__BURO_AMT_CREDIT_SUM_LIMIT_SUM,720.3435935974121
numeric__BUREAU_REQUEST_TOTAL,716.4074935913086
numeric__FLOORSMAX_AVG,712.3738079071045
numeric__APARTMENTS_MODE,704.3951969146729
numeric__CC_CC_DRAWING_LIMIT_RATIO_SUM,703.7166023254395
numeric__INST_INST_LATE_PAYMENT_FLAG_SUM,699.0191993713379
numeric__CC_AMT_RECIVABLE_MAX,689.9958076477051
numeric__BURO_BAL_BB_MONTHS_BALANCE_MEAN_MAX,688.5143013000488
numeric__BURO_RECORD_COUNT,686.3598022460938
numeric__PREV_DAYS_FIRST_DUE_MIN,684.9425964355469
numeric__CC_AMT_DRAWINGS_CURRENT_SUM,682.4233951568604
numeric__PREV_AMT_APPLICATION_MAX,681.2607002258301
numeric__PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_RATE,673.6617012023926
numeric__BURO_BAL_BB_MONTHS_BALANCE_MIN_MAX,673.0760955810547
numeric__PREV_NAME_CONTRACT_STATUS_CANCELED_RATE,667.5887031555176
numeric__PREV_NAME_CLIENT_TYPE_REPEATER_RATE,666.1710968017578
numeric__CC_CNT_DRAWINGS_ATM_CURRENT_SUM,665.5685958862305
numeric__missingindicator_BURO_AMT_CREDIT_SUM_DEBT_MEAN,648.8140106201172
numeric__BURO_TYPE_CREDIT CARD,642.5475006103516
numeric__PREV_PRODUCT_COMBINATION_CASH STREET: HIGH_RATE,632.5046005249023
numeric__PREV_RATE_DOWN_PAYMENT_MEAN,621.8583030700684
numeric__YEARS_BEGINEXPLUATATION_AVG,616.6957015991211
numeric__PREV_NAME_CLIENT_TYPE_REFRESHED_RATE,612.5994987487793
numeric__CC_AMT_PAYMENT_CURRENT_MEAN,608.410099029541
numeric__CC_AMT_RECEIVABLE_PRINCIPAL_MIN,602.4739990234375
numeric__BURO_BAL_BB_STATUS_X_RATE_SUM,599.5817070007324
numeric__NONLIVINGAPARTMENTS_MODE,595.1475028991699
numeric__PREV_HOUR_APPR_PROCESS_START_SUM,590.7033996582031
numeric__BURO_ACTIVE_CLOSED,583.2334899902344
numeric__PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_RATE,579.0166969299316
numeric__PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY,578.8111038208008
numeric__PREV_NAME_GOODS_CATEGORY_MOBILE_RATE,574.3872947692871
numeric__CC_AMT_DRAWINGS_ATM_CURRENT_SUM,573.2536029815674
numeric__PREV_NAME_CONTRACT_STATUS_APPROVED,571.1725845336914
numeric__PREV_PRODUCT_COMBINATION_POS MOBILE WITH INTEREST_RATE,570.9525051116943
numeric__BURO_ACTIVE_ACTIVE_RATE,570.7795028686523
numeric__BURO_BAL_BB_MONTHS_BALANCE_MIN_MEAN,569.4444980621338
numeric__BURO_BAL_BB_STATUS_X_RATE_MEAN,566.8940944671631
numeric__BURO_BAL_BB_MONTHS_BALANCE_MEAN_MEAN,565.9709014892578
numeric__ENTRANCES_AVG,565.1540050506592
numeric__PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,557.615104675293
numeric__LANDAREA_MODE,554.7815017700195
numeric__BURO_BAL_BB_STATUS_C_MEAN,554.4142990112305
numeric__PREV_NAME_SELLER_INDUSTRY_CONSTRUCTION_RATE,553.7635917663574
numeric__POS_CNT_INSTALMENT_MIN,553.6562957763672
numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MIN,552.9634037017822
numeric__PREV_CODE_REJECT_REASON_SCO_RATE,548.0480003356934
numeric__ELEVATORS_AVG,547.4450950622559
numeric__BURO_BAL_BB_STATUS_0_RATE_SUM,545.9056015014648
numeric__BURO_BAL_BB_MONTHS_BALANCE_MIN_SUM,539.3474922180176
numeric__CC_AMT_PAYMENT_CURRENT_SUM,531.8071937561035
numeric__INST_INST_UNDERPAYMENT_FLAG_SUM,527.7570037841797
numeric__BURO_BAL_BB_STATUS_C_MAX,527.3772029876709
numeric__PREV_NAME_PORTFOLIO_CARDS_RATE,515.0151042938232
categorical__OCCUPATION_TYPE_Accountants,514.0648994445801
numeric__PREV_NAME_PRODUCT_TYPE_WALK-IN,513.8188972473145
numeric__PREV_AMT_DOWN_PAYMENT_MIN,513.3830947875977
numeric__CC_CC_UTILIZATION_RATIO_SUM,511.55530166625977
numeric__PREV_CHANNEL_TYPE_REGIONAL / LOCAL_RATE,510.59089851379395
numeric__PREV_CHANNEL_TYPE_CONTACT CENTER_RATE,505.62350273132324
numeric__LIVINGAREA_MEDI,505.3055000305176
numeric__PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_MIN,498.72440338134766
numeric__YEARS_BUILD_MEDI,497.7887992858887
numeric__COMMONAREA_MEDI,497.65510177612305
numeric__PREV_NAME_CASH_LOAN_PURPOSE_XNA_RATE,495.70409774780273
numeric__LIVINGAPARTMENTS_MEDI,478.7444019317627
numeric__CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,474.7601089477539
numeric__BURO_BAL_BB_STATUS_1_RATE_MEAN,473.08519744873047
categorical__ORGANIZATION_TYPE_Realtor,472.2158966064453
numeric__BURO_BAL_BB_STATUS_0_MEAN,471.83939933776855
numeric__POS_SK_DPD_MEAN,471.04930877685547
numeric__PREV_NAME_PORTFOLIO_POS_RATE,469.79429626464844
numeric__PREV_NAME_TYPE_SUITE_CHILDREN_RATE,465.9509963989258
numeric__BURO_BAL_BB_BAD_STATUS_COUNT_MEAN,463.985294342041
numeric__BURO_BAL_BB_STATUS_X_MAX,461.99440002441406
numeric__CC_CC_PAYMENT_MIN_RATIO_MIN,457.44129753112793
numeric__CC_CNT_DRAWINGS_POS_CURRENT_MAX,456.34130096435547
numeric__PREV_NAME_SELLER_INDUSTRY_CONSUMER ELECTRONICS_RATE,451.985595703125
numeric__PREV_NAME_CONTRACT_STATUS_REFUSED,449.01359939575195
numeric__PREV_CHANNEL_TYPE_STONE_RATE,446.2494010925293
numeric__PREV_PRODUCT_COMBINATION_POS HOUSEHOLD WITHOUT INTEREST_RATE,445.52579498291016
