source_column,total_gain,max_gain,transformed_feature_count,positive_transformed_feature_count,source_column_exists
ORGANIZATION_TYPE,11153.134105682373,2093.715003967285,58,16,True
INST_AMT_PAYMENT_MEAN,11102.82593345642,11102.82593345642,2,1,True
CC_CC_UTILIZATION_RATIO_MAX,10588.035495758057,10588.035495758057,2,1,True
EXT_SOURCE_2,10144.705024719238,10144.705024719238,2,1,True
ANNUITY_PER_PERSON,10098.991498947144,10098.991498947144,2,1,True
BURO_DAYS_CREDIT_ENDDATE_MAX,9930.790616989136,9930.790616989136,2,1,True
PREV_DAYS_LAST_DUE_MAX,9902.459386825562,9902.459386825562,2,1,True
PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,9108.509422302246,9108.509422302246,2,1,True
INST_INST_PAYMENT_DIFF_MEAN,8996.83028793335,8996.83028793335,2,1,True
NAME_FAMILY_STATUS,8585.345876693726,8328.552076339722,6,3,True
INST_AMT_PAYMENT_MIN,8584.00379562378,8584.00379562378,2,1,True
CC_CNT_DRAWINGS_CURRENT_MEAN,8347.631248474121,8347.631248474121,2,1,True
NAME_INCOME_TYPE,8323.270725250244,5530.558712005615,8,4,True
CC_CC_UTILIZATION_RATIO_MEAN,8312.288913726807,8312.288913726807,2,1,True
POS_POS_COMPLETION_RATIO_MEAN,8256.662406921387,8256.662406921387,2,1,True
BURO_AMT_CREDIT_SUM_MAX,8194.775226593018,8194.775226593018,2,1,True
POS_MONTHS_BALANCE_MAX,7848.350997924805,7848.350997924805,2,1,True
INST_INST_PAYMENT_DELAY_MAX,7787.608121871948,7787.608121871948,2,1,True
PREV_NAME_YIELD_GROUP_LOW_ACTION_RATE,7579.369668960571,7579.369668960571,2,1,True
CC_CC_DRAWING_LIMIT_RATIO_MEAN,7528.211822509766,7528.211822509766,2,1,True
BURO_AMT_CREDIT_SUM_SUM,7435.311326980591,7435.311326980591,2,1,True
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,7305.96939277649,6344.527185440064,2,2,True
BURO_DAYS_ENDDATE_FACT_MAX,7253.435781478882,7253.435781478882,2,1,True
CREDIT_PER_PERSON,7107.769199371338,7107.769199371338,2,1,True
REGION_RATING_CLIENT_W_CITY,7027.2510051727295,7027.2510051727295,1,1,True
PREV_CNT_PAYMENT_MEAN,7021.528697967529,7021.528697967529,2,1,True
PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,6933.758514404297,6933.758514404297,2,1,True
PREV_AMT_DOWN_PAYMENT_SUM,6834.187156677246,6834.187156677246,2,1,True
PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,6685.662794113159,6685.662794113159,2,1,True
BURO_TYPE_MORTGAGE_RATE,6403.136734008789,6403.136734008789,2,1,True
NAME_CONTRACT_TYPE,6333.587703704834,5218.303203582764,2,2,True
POS_CNT_INSTALMENT_FUTURE_MEAN,6236.344879150391,6236.344879150391,2,1,True
DAYS_ID_PUBLISH,6180.603006362915,6180.603006362915,1,1,True
BURO_DAYS_CREDIT_SUM,6088.029098510742,6088.029098510742,2,1,True
INST_NUM_INSTALMENT_VERSION_MEAN,5600.099117279053,5600.099117279053,2,1,True
INST_INST_PAYMENT_RATIO_MEAN,5496.247081756592,5496.247081756592,2,1,True
BURO_BURO_DEBT_CREDIT_RATIO_SUM,5262.812479019165,5262.812479019165,2,1,True
CREDIT_INCOME_RATIO,5197.042016983032,5197.042016983032,1,1,True
OCCUPATION_TYPE,5188.756799697876,2207.046197891236,18,7,True
EXT_SOURCE_COUNT,5174.943237304688,5174.943237304688,1,1,True
INST_AMT_INSTALMENT_SUM,5130.036420822144,5130.036420822144,2,1,True
FLAG_OWN_CAR,5034.418214797974,4142.495300292969,2,2,True
POS_SK_DPD_DEF_MEAN,5012.200483322144,5012.200483322144,2,1,True
INST_INST_PAYMENT_DIFF_SUM,4950.329700469971,4950.329700469971,2,1,True
PREV_AMT_ANNUITY_MEAN,4940.928110122681,4940.928110122681,2,1,True
ID_PUBLISH_AGE_RATIO,4919.665678024292,4919.665678024292,1,1,True
PREV_CODE_REJECT_REASON_XAP_RATE,4874.718830108643,4874.718830108643,2,1,True
INST_INST_PAYMENT_DELAY_SUM,4811.483194351196,4811.483194351196,2,1,True
PREV_DAYS_TERMINATION_MAX,4462.488399505615,4462.488399505615,2,1,True
REGION_POPULATION_RELATIVE,4353.371700286865,4353.371700286865,1,1,True
INST_NUM_INSTALMENT_VERSION_SUM,4336.977687835693,4336.977687835693,2,1,True
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,4330.631538391113,4330.631538391113,2,1,True
BURO_DAYS_CREDIT_MAX,4324.760185241699,4324.760185241699,2,1,True
INST_DAYS_INSTALMENT_MIN,4221.491195678711,4221.491195678711,2,1,True
INST_AMT_INSTALMENT_MIN,4109.4162940979,4109.4162940979,2,1,True
BURO_AMT_CREDIT_MAX_OVERDUE_SUM,4104.511806488037,4104.511806488037,2,1,True
PREV_NAME_CONTRACT_STATUS_APPROVED_RATE,4039.4961013793945,4039.4961013793945,2,1,True
ID_PUBLISH_YEARS,4019.3135948181152,4019.3135948181152,1,1,True
INST_INST_UNDERPAYMENT_FLAG_MEAN,4000.075929641724,4000.075929641724,2,1,True
BURO_DAYS_ENDDATE_FACT_MEAN,3941.7270317077637,2677.7757263183594,2,2,True
PREV_AMT_ANNUITY_MIN,3908.841028213501,3908.841028213501,2,1,True
PREV_NAME_YIELD_GROUP_HIGH_RATE,3899.753803253174,3899.753803253174,2,1,True
BURO_DAYS_ENDDATE_FACT_SUM,3810.2951889038086,3810.2951889038086,2,1,True
SOCIAL_DEFAULT_RATIO_60,3787.831802368164,3787.831802368164,2,1,True
INST_DAYS_ENTRY_PAYMENT_MIN,3770.8341026306152,3770.8341026306152,2,1,True
BURO_AMT_CREDIT_SUM_MIN,3690.483106613159,3690.483106613159,2,1,True
BURO_AMT_CREDIT_SUM_DEBT_MAX,3628.014892578125,3628.014892578125,2,1,True
DAYS_LAST_PHONE_CHANGE,3603.498384475708,3603.498384475708,2,1,True
PREV_PRODUCT_COMBINATION_POS INDUSTRY WITH INTEREST_RATE,3577.932710647583,3577.932710647583,2,1,True
PREV_CNT_PAYMENT_MAX,3562.4755210876465,3562.4755210876465,2,1,True
PREV_NAME_PRODUCT_TYPE_WALK-IN_RATE,3488.691097259521,3488.691097259521,2,1,True
BURO_AMT_CREDIT_SUM_MEAN,3469.712490081787,3469.712490081787,2,1,True
REG_CITY_NOT_LIVE_CITY,3398.7752113342285,3398.7752113342285,1,1,True
AMT_REQ_CREDIT_BUREAU_QRT,3392.7374839782715,3392.7374839782715,2,1,True
BURO_TYPE_MICROLOAN_RATE,3382.503011703491,3382.503011703491,2,1,True
EXT_SOURCE_STD,3344.8152980804443,3344.8152980804443,2,1,True
INST_DAYS_ENTRY_PAYMENT_MAX,3330.2749061584477,3330.2749061584477,2,1,True
INST_NUM_INSTALMENT_NUMBER_MAX,3212.1498050689697,3212.1498050689697,2,1,True
PHONE_CHANGE_AGE_RATIO,3208.4944896698,3208.4944896698,2,1,True
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,3079.585615158081,1856.759017944336,2,2,True
BURO_DAYS_CREDIT_MIN,3009.2593116760254,3009.2593116760254,2,1,True
PREV_AMT_DOWN_PAYMENT_MAX,3002.9940242767334,3002.9940242767334,2,1,True
BURO_BURO_ENDDATE_CREDIT_GAP_MAX,2962.469005584717,2962.469005584717,2,1,True
BURO_DAYS_CREDIT_ENDDATE_SUM,2948.399013519287,2948.399013519287,2,1,True
BURO_BURO_ENDDATE_CREDIT_GAP_MIN,2945.335424423218,2945.335424423218,2,1,True
BURO_AMT_CREDIT_SUM_DEBT_MEAN,2935.2235164642334,2286.409505844116,2,2,True
PREV_SELLERPLACE_AREA_MEAN,2825.4469089508057,2825.4469089508057,2,1,True
INST_INST_PAYMENT_DELAY_MIN,2781.493408203125,2781.493408203125,2,1,True
POS_MONTHS_BALANCE_SUM,2766.623592376709,2766.623592376709,2,1,True
SOCIAL_DEFAULT_RATIO_30,2764.766384124756,2764.766384124756,2,1,True
PREV_NAME_YIELD_GROUP_LOW_NORMAL_RATE,2703.8021087646484,2703.8021087646484,2,1,True
PREV_AMT_DOWN_PAYMENT_MEAN,2629.165981292724,2480.028987884521,2,2,True
REGISTRATION_AGE_RATIO,2594.1524982452397,2594.1524982452397,1,1,True
INST_INST_PAYMENT_DIFF_MAX,2515.545389175415,2515.545389175415,2,1,True
BURO_DAYS_CREDIT_MEAN,2492.0261878967285,2492.0261878967285,2,1,True
PREV_PREV_CREDIT_APPLICATION_RATIO_MIN,2457.831485748291,2457.831485748291,2,1,True
REGISTRATION_YEARS,2411.602584838867,2411.602584838867,1,1,True
POS_SK_DPD_DEF_MAX,2386.515007019043,2386.515007019043,2,1,True
PREV_DAYS_FIRST_DRAWING_MAX,2379.754384994507,2379.754384994507,2,1,True
INST_DAYS_INSTALMENT_MEAN,2356.825092315674,2356.825092315674,2,1,True
PREV_AMT_APPLICATION_SUM,2316.718017578125,2316.718017578125,2,1,True
CC_CC_PAYMENT_MIN_RATIO_SUM,2314.134925842285,2314.134925842285,2,1,True
DAYS_REGISTRATION,2284.485614776612,2284.485614776612,1,1,True
SOCIAL_DEFAULT_TOTAL,2276.061529159546,2276.061529159546,2,1,True
BUILDING_FEATURE_MEAN,2267.960695266724,2267.960695266724,2,1,True
PREV_SELLERPLACE_AREA_MAX,2257.856704711914,2257.856704711914,2,1,True
POS_MONTHS_BALANCE_MEAN,2245.7470874786377,2245.7470874786377,2,1,True
BURO_DAYS_CREDIT_UPDATE_MEAN,2226.2733974456787,2226.2733974456787,2,1,True
PREV_AMT_ANNUITY_MAX,2207.240791320801,2207.240791320801,2,1,True
FLAG_WORK_PHONE,2199.158000946045,2199.158000946045,1,1,True
BURO_BAL_BB_STATUS_C_RATE_MAX,2192.977104187012,2192.977104187012,2,1,True
BURO_DAYS_CREDIT_ENDDATE_MEAN,2165.3582038879395,2104.065704345703,2,2,True
PHONE_CHANGE_YEARS,2156.513996124268,2156.513996124268,2,1,True
PREV_SELLERPLACE_AREA_SUM,2148.3460006713867,2148.3460006713867,2,1,True
PREV_AMT_ANNUITY_SUM,2107.8177032470703,2035.5419998168943,2,2,True
INST_DAYS_ENTRY_PAYMENT_MEAN,2098.4833984375,2098.4833984375,2,1,True
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,2095.0001945495605,2095.0001945495605,2,1,True
INST_AMT_PAYMENT_MAX,2093.9703845977783,2093.9703845977783,2,1,True
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,2089.5024337768555,2089.5024337768555,2,1,True
CC_CNT_DRAWINGS_CURRENT_MAX,2085.044204711914,2085.044204711914,2,1,True
INST_INST_PAYMENT_RATIO_SUM,2080.687397003174,2080.687397003174,2,1,True
INST_INST_PAYMENT_DELAY_MEAN,2074.0824012756348,2074.0824012756348,2,1,True
PREV_CHANNEL_TYPE_CHANNEL OF CORPORATE SALES_RATE,2036.0568237304688,2036.0568237304688,2,1,True
BURO_TYPE_MICROLOAN,2016.1844787597656,2016.1844787597656,2,1,True
BURO_DAYS_CREDIT_UPDATE_MAX,2013.784610748291,2013.784610748291,2,1,True
INST_AMT_INSTALMENT_MAX,2012.6616077423096,2012.6616077423096,2,1,True
PREV_DAYS_FIRST_DUE_MAX,2008.4121227264404,2008.4121227264404,2,1,True
PREV_AMT_GOODS_PRICE_MIN,1984.1895084381104,1984.1895084381104,2,1,True
HOUR_APPR_PROCESS_START,1945.94620513916,1945.94620513916,1,1,True
PREV_PREV_ANNUITY_CREDIT_RATIO_MIN,1945.347393035889,1945.347393035889,2,1,True
POS_CNT_INSTALMENT_MAX,1916.29829788208,1916.29829788208,2,1,True
BURO_BURO_ENDDATE_CREDIT_GAP_MEAN,1910.5195846557615,1910.5195846557615,2,1,True
BURO_BAL_BB_STATUS_0_RATE_MEAN,1884.5117015838623,1884.5117015838623,2,1,True
BURO_DAYS_CREDIT_UPDATE_MIN,1871.8871097564695,1871.8871097564695,2,1,True
PREV_NAME_GOODS_CATEGORY_FURNITURE_RATE,1856.3697128295896,1856.3697128295896,2,1,True
INST_DAYS_ENTRY_PAYMENT_SUM,1846.7003955841064,1846.7003955841064,2,1,True
YEARS_BEGINEXPLUATATION_MODE,1814.789894104004,1814.789894104004,2,1,True
PREV_PREV_ANNUITY_CREDIT_RATIO_MEAN,1814.6892948150637,1814.6892948150637,2,1,True
AMT_INCOME_TOTAL,1792.446897506714,1792.446897506714,1,1,True
BURO_BURO_ENDDATE_CREDIT_GAP_SUM,1758.4218978881836,1758.4218978881836,2,1,True
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,1747.2465057373047,1747.2465057373047,2,1,True
INST_DAYS_INSTALMENT_MAX,1727.6025161743164,1727.6025161743164,2,1,True
POS_MONTHS_BALANCE_MIN,1726.4168968200684,1726.4168968200684,2,1,True
BURO_BAL_BB_MONTHS_BALANCE_COUNT_SUM,1706.7148971557615,1706.7148971557615,2,1,True
APARTMENTS_AVG,1700.8211135864258,1700.8211135864258,2,1,True
PREV_DAYS_LAST_DUE_SUM,1697.4098052978516,1697.4098052978516,2,1,True
INST_AMT_INSTALMENT_MEAN,1671.108097076416,1671.108097076416,2,1,True
POS_STATUS_ACTIVE,1634.1456909179688,1634.1456909179688,2,1,True
PREV_RATE_DOWN_PAYMENT_SUM,1602.432601928711,1602.432601928711,2,1,True
BURO_BAL_BB_STATUS_C_SUM,1590.595609664917,1590.595609664917,2,1,True
BURO_DAYS_ENDDATE_FACT_MIN,1579.9294929504397,1579.9294929504397,2,1,True
INST_NUM_INSTALMENT_NUMBER_SUM,1565.5543937683103,1565.5543937683103,2,1,True
PREV_DAYS_TERMINATION_SUM,1556.2289962768557,1556.2289962768557,2,1,True
BURO_AMT_CREDIT_SUM_DEBT_SUM,1546.6345081329346,1546.6345081329346,2,1,True
POS_SK_DPD_DEF_SUM,1536.4980068206787,1536.4980068206787,2,1,True
BURO_BAL_BB_STATUS_X_MEAN,1528.8424949645996,1528.8424949645996,2,1,True
PREV_PRODUCT_COMBINATION_CASH X-SELL: HIGH_RATE,1514.6625938415527,1514.6625938415527,2,1,True
INST_NUM_INSTALMENT_VERSION_MAX,1510.2361068725586,1510.2361068725586,2,1,True
POS_CNT_INSTALMENT_FUTURE_MAX,1473.185302734375,1473.185302734375,2,1,True
CC_CC_PAYMENT_MIN_RATIO_MEAN,1472.1685962677002,1472.1685962677002,2,1,True
PREV_AMT_CREDIT_MIN,1465.674903869629,1465.674903869629,2,1,True
PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_SUM,1455.8645133972168,1455.8645133972168,2,1,True
PREV_HOUR_APPR_PROCESS_START_MAX,1450.8285102844238,1450.8285102844238,2,1,True
PREV_DAYS_FIRST_DRAWING_MEAN,1450.3470916748047,1450.3470916748047,2,1,True
PREV_CNT_PAYMENT_SUM,1407.7312088012695,1407.7312088012695,2,1,True
PREV_DAYS_DECISION_MEAN,1405.0423049926758,1405.0423049926758,2,1,True
BURO_AMT_CREDIT_SUM_LIMIT_MAX,1384.4460945129395,1009.8571014404296,2,2,True
CC_AMT_DRAWINGS_CURRENT_MEAN,1380.7106037139893,1380.7106037139893,2,1,True
PREV_NAME_TYPE_SUITE_UNACCOMPANIED_RATE,1372.2465839385986,1372.2465839385986,2,1,True
PREV_NAME_TYPE_SUITE_NAN_RATE,1360.17010307312,1360.17010307312,2,1,True
PREV_PREV_ANNUITY_CREDIT_RATIO_SUM,1359.3357067108154,1359.3357067108154,2,1,True
BURO_ACTIVE_CLOSED_RATE,1354.2515907287598,1354.2515907287598,2,1,True
PREV_NAME_YIELD_GROUP_HIGH,1349.2852020263672,1349.2852020263672,2,1,True
POS_CNT_INSTALMENT_MEAN,1348.7979984283447,1348.7979984283447,2,1,True
PREV_HOUR_APPR_PROCESS_START_MEAN,1346.9625988006592,1346.9625988006592,2,1,True
PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_MEAN,1334.836109161377,1334.836109161377,2,1,True
PREV_PRODUCT_COMBINATION_CASH STREET: LOW_RATE,1333.4903888702393,1333.4903888702393,2,1,True
PREV_NAME_SELLER_INDUSTRY_FURNITURE_RATE,1328.1328926086426,1328.1328926086426,2,1,True
PREV_DAYS_FIRST_DUE_SUM,1318.8628997802734,1318.8628997802734,2,1,True
PREV_AMT_APPLICATION_MEAN,1291.7278003692627,1291.7278003692627,2,1,True
LIVINGAREA_AVG,1281.0405082702637,1281.0405082702637,2,1,True
PREV_DAYS_DECISION_MAX,1276.8234024047852,1276.8234024047852,2,1,True
BURO_DAYS_CREDIT_UPDATE_SUM,1272.2934951782229,1272.2934951782229,2,1,True
INST_DAYS_INSTALMENT_SUM,1265.4881019592283,1265.4881019592283,2,1,True
PREV_PREV_DOWN_PAYMENT_APPLICATION_RATIO_MAX,1232.0178108215332,1232.0178108215332,2,1,True
PREV_DAYS_FIRST_DUE_MEAN,1231.2748050689695,1231.2748050689695,2,1,True
BURO_ACTIVE_ACTIVE,1227.6825981140137,1227.6825981140137,2,1,True
PREV_DAYS_TERMINATION_MIN,1214.833408355713,1214.833408355713,2,1,True
PREV_CHANNEL_TYPE_AP+ (CASH LOAN)_RATE,1211.4174041748047,1211.4174041748047,2,1,True
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,1192.3606910705566,1192.3606910705566,2,1,True
INST_INST_PAYMENT_DIFF_MIN,1189.544490814209,1189.544490814209,2,1,True
PREV_AMT_CREDIT_MEAN,1165.1729984283447,1165.1729984283447,2,1,True
PREV_DAYS_LAST_DUE_MEAN,1136.653095245361,1136.653095245361,2,1,True
PREV_AMT_CREDIT_MAX,1135.9788970947266,1135.9788970947266,2,1,True
BURO_AMT_CREDIT_SUM_OVERDUE_MAX,1135.042495727539,1135.042495727539,2,1,True
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,1130.5799007415771,1130.5799007415771,2,1,True
POS_STATUS_ACTIVE_RATE,1129.7655029296875,1129.7655029296875,2,1,True
APARTMENTS_MEDI,1123.605697631836,1123.605697631836,2,1,True
PREV_NAME_SELLER_INDUSTRY_CONNECTIVITY_RATE,1102.447687149048,1102.447687149048,2,1,True
PREV_DAYS_DECISION_SUM,1097.9326057434082,1097.9326057434082,2,1,True
BURO_DAYS_CREDIT_ENDDATE_MIN,1096.2203884124756,1096.2203884124756,2,1,True
CC_AMT_BALANCE_MAX,1094.5783023834229,1094.5783023834229,2,1,True
PREV_CODE_REJECT_REASON_HC_RATE,1091.7019081115725,1091.7019081115725,2,1,True
NONLIVINGAREA_AVG,1075.1055068969727,1005.9953079223632,2,2,True
FLOORSMAX_MEDI,1066.2528915405271,1066.2528915405271,2,1,True
PREV_CHANNEL_TYPE_CREDIT AND CASH OFFICES_RATE,1062.1943073272705,1062.1943073272705,2,1,True
PREV_DAYS_TERMINATION_MEAN,1056.1925010681152,1056.1925010681152,2,1,True
BURO_TYPE_CONSUMER CREDIT_RATE,1048.144905090332,1048.144905090332,2,1,True
PREV_PRODUCT_COMBINATION_POS INDUSTRY WITHOUT INTEREST_RATE,1046.2098960876465,1046.2098960876465,2,1,True
PREV_RATE_DOWN_PAYMENT_MAX,1039.782699584961,1039.782699584961,2,1,True
LANDAREA_AVG,1036.1273040771484,1036.1273040771484,2,1,True
PREV_DAYS_FIRST_DRAWING_MIN,1035.3053073883057,1035.3053073883057,2,1,True
FLOORSMAX_MODE,1020.5743980407716,1020.5743980407716,2,1,True
PREV_NAME_YIELD_GROUP_XNA_RATE,1016.7951965332032,1016.7951965332032,2,1,True
BURO_BAL_BB_MONTHS_BALANCE_COUNT_MEAN,1006.7784004211426,1006.7784004211426,2,1,True
INST_INST_PAYMENT_RATIO_MIN,1003.4005012512208,1003.4005012512208,2,1,True
PREV_DAYS_LAST_DUE_MIN,987.1875019073486,987.1875019073486,2,1,True
LIVINGAPARTMENTS_MODE,978.6139030456544,978.6139030456544,2,1,True
INCOME_PER_PERSON,972.1104068756104,972.1104068756104,2,1,True
BURO_TYPE_CONSUMER CREDIT,970.1446990966796,970.1446990966796,2,1,True
CC_CC_PAYMENT_MIN_RATIO_MAX,950.3001098632812,950.3001098632812,2,1,True
POS_STATUS_COMPLETED_RATE,934.613302230835,934.613302230835,2,1,True
PREV_PREV_ANNUITY_CREDIT_RATIO_MAX,933.681308746338,933.681308746338,2,1,True
PREV_NAME_CLIENT_TYPE_NEW_RATE,933.1129951477052,933.1129951477052,2,1,True
PREV_NAME_PRODUCT_TYPE_X-SELL_RATE,927.0269985198976,927.0269985198976,2,1,True
LIVINGAREA_MODE,926.2697010040283,891.8784999847412,2,2,True
BURO_BAL_BB_STATUS_C_RATE_MEAN,922.1355018615724,922.1355018615724,2,1,True
PREV_AMT_APPLICATION_MIN,915.7373008728028,915.7373008728028,2,1,True
BURO_BAL_BB_STATUS_0_RATE_MAX,912.7278938293456,912.7278938293456,2,1,True
POS_POS_COMPLETION_RATIO_MIN,911.6297912597656,911.6297912597656,2,1,True
POS_CNT_INSTALMENT_SUM,905.6673927307128,905.6673927307128,2,1,True
CC_STATUS_SENT PROPOSAL_RATE,902.8765907287598,902.8765907287598,2,1,True
POS_RECORD_COUNT,901.3883934020996,901.3883934020996,2,1,True
PREV_RATE_DOWN_PAYMENT_MIN,875.4417953491211,875.4417953491211,2,1,True
PREV_NAME_SELLER_INDUSTRY_XNA_RATE,873.2731914520264,873.2731914520264,2,1,True
PREV_NAME_TYPE_SUITE_FAMILY_RATE,870.417797088623,870.417797088623,2,1,True
POS_CNT_INSTALMENT_FUTURE_SUM,869.5108051300049,869.5108051300049,2,1,True
NONLIVINGAREA_MEDI,862.7292900085449,862.7292900085449,2,1,True
BURO_TYPE_MORTGAGE,859.0984020233154,859.0984020233154,2,1,True
TOTALAREA_MODE,844.484302520752,844.484302520752,2,1,True
PREV_NAME_PAYMENT_TYPE_CASH THROUGH THE BANK_RATE,832.3781032562256,832.3781032562256,2,1,True
PREV_AMT_CREDIT_SUM,824.3262062072754,824.3262062072754,2,1,True
BASEMENTAREA_MEDI,816.5788021087646,816.5788021087646,2,1,True
PREV_NAME_GOODS_CATEGORY_PHOTO / CINEMA EQUIPMENT_RATE,813.2644996643066,813.2644996643066,2,1,True
BURO_BAL_BB_MONTHS_BALANCE_MAX_MEAN,794.9004974365234,794.9004974365234,2,1,True
BURO_BAL_BB_STATUS_0_MAX,793.4180107116699,793.4180107116699,2,1,True
PREV_AMT_GOODS_PRICE_MEAN,788.9372062683105,788.9372062683105,2,1,True
YEARS_BEGINEXPLUATATION_MEDI,785.070198059082,785.070198059082,2,1,True
PREV_NAME_PRODUCT_TYPE_XNA_RATE,772.8337001800537,772.8337001800537,2,1,True
PREV_DAYS_DECISION_MIN,767.1593055725098,767.1593055725098,2,1,True
INST_NUM_INSTALMENT_NUMBER_MEAN,767.1498870849609,767.1498870849609,2,1,True
CC_CNT_INSTALMENT_MATURE_CUM_SUM,765.6642951965332,765.6642951965332,2,1,True
COMMONAREA_AVG,761.6005020141602,761.6005020141602,2,1,True
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_RATE,752.8096923828125,752.8096923828125,2,1,True
CC_CNT_DRAWINGS_CURRENT_SUM,747.3028945922852,747.3028945922852,2,1,True
BURO_BAL_BB_STATUS_C_RATE_SUM,745.184700012207,745.184700012207,2,1,True
BASEMENTAREA_MODE,742.5164070129395,742.5164070129395,2,1,True
PREV_SELLERPLACE_AREA_MIN,741.1392974853516,741.1392974853516,2,1,True
YEARS_BUILD_MODE,741.1291961669922,741.1291961669922,2,1,True
PREV_PREV_CREDIT_APPLICATION_RATIO_SUM,739.290096282959,739.290096282959,2,1,True
BURO_RECORD_COUNT,734.2824020385742,686.3598022460938,2,2,True
BURO_BAL_BB_STATUS_0_SUM,734.0852088928223,734.0852088928223,2,1,True
COMMONAREA_MODE,729.6521034240723,729.6521034240723,2,1,True
LIVINGAPARTMENTS_AVG,724.569206237793,724.569206237793,2,1,True
INST_INST_PAYMENT_RATIO_MAX,724.0749015808105,724.0749015808105,2,1,True
BURO_AMT_CREDIT_SUM_LIMIT_SUM,720.3435935974121,720.3435935974121,2,1,True
BUREAU_REQUEST_TOTAL,716.4074935913086,716.4074935913086,2,1,True
FLOORSMAX_AVG,712.3738079071045,712.3738079071045,2,1,True
APARTMENTS_MODE,704.3951969146729,704.3951969146729,2,1,True
CC_CC_DRAWING_LIMIT_RATIO_SUM,703.7166023254395,703.7166023254395,2,1,True
INST_INST_LATE_PAYMENT_FLAG_SUM,699.0191993713379,699.0191993713379,2,1,True
CC_AMT_RECIVABLE_MAX,689.9958076477051,689.9958076477051,2,1,True
BURO_BAL_BB_MONTHS_BALANCE_MEAN_MAX,688.5143013000488,688.5143013000488,2,1,True
PREV_DAYS_FIRST_DUE_MIN,684.9425964355469,684.9425964355469,2,1,True
CC_AMT_DRAWINGS_CURRENT_SUM,682.4233951568604,682.4233951568604,2,1,True
PREV_AMT_APPLICATION_MAX,681.2607002258301,681.2607002258301,2,1,True
YEARS_BEGINEXPLUATATION_AVG,675.6379013061523,616.6957015991211,2,2,True
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_RATE,673.6617012023926,673.6617012023926,2,1,True
BURO_BAL_BB_MONTHS_BALANCE_MIN_MAX,673.0760955810547,673.0760955810547,2,1,True
PREV_NAME_CONTRACT_STATUS_CANCELED_RATE,667.5887031555176,667.5887031555176,2,1,True
PREV_NAME_CLIENT_TYPE_REPEATER_RATE,666.1710968017578,666.1710968017578,2,1,True
